ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
6K-1,6000x4000,boxBlur,19,33.8833,1,6000x4000,1,1,0.708313
6K-2,6000x4000,boxBlur,19,34.2552,1,6000x4000,1,1,0.700624
6K-3,6000x4000,boxBlur,19,34.2458,1,6000x4000,1,1,0.700816
6K-1,6000x8000,boxBlur,19,34.4467,2,6000x4000,0.983645,1.96729,1.39346
6K-2,6000x8000,boxBlur,19,34.741,2,6000x4000,0.986015,1.97203,1.38165
6K-3,6000x8000,boxBlur,19,34.6064,2,6000x4000,0.989579,1.97916,1.38703
6K-1,6000x16000,boxBlur,19,34.9868,4,6000x4000,0.968461,3.87384,2.74389
6K-2,6000x16000,boxBlur,19,35.0618,4,6000x4000,0.976996,3.90798,2.73803
6K-3,6000x16000,boxBlur,19,35.1857,4,6000x4000,0.973286,3.89314,2.72838
6K-1,6000x32000,boxBlur,19,55.6419,8,6000x4000,0.608953,4.87162,3.45064
6K-2,6000x32000,boxBlur,19,56.7254,8,6000x4000,0.603878,4.83102,3.38473
6K-3,6000x32000,boxBlur,19,56.5221,8,6000x4000,0.605883,4.84706,3.3969
6K-1,6000x64000,boxBlur,19,67.0826,16,6000x4000,0.505098,8.08157,5.72428
6K-2,6000x64000,boxBlur,19,67.175,16,6000x4000,0.509939,8.15903,5.71641
6K-3,6000x64000,boxBlur,19,67.0085,16,6000x4000,0.511066,8.17705,5.73061
