ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
4K-1,4000x2000,boxBlur,7,0.91124,1,4000x2000,1,1,8.77924
4K-2,4000x2000,boxBlur,7,0.839575,1,4000x2000,1,1,9.52864
4K-3,4000x2000,boxBlur,7,0.843297,1,4000x2000,1,1,9.48657
4K-1,4000x4000,boxBlur,7,0.891812,2,4000x2000,1.02178,2.04357,17.941
4K-2,4000x4000,boxBlur,7,0.889202,2,4000x2000,0.944189,1.88838,17.9937
4K-3,4000x4000,boxBlur,7,0.889407,2,4000x2000,0.948157,1.89631,17.9895
4K-1,4000x8000,boxBlur,7,1.03326,4,4000x2000,0.881912,3.52765,30.9701
4K-2,4000x8000,boxBlur,7,1.02639,4,4000x2000,0.817985,3.27194,31.1771
4K-3,4000x8000,boxBlur,7,1.06185,4,4000x2000,0.794181,3.17672,30.1362
4K-1,4000x16000,boxBlur,7,1.56142,8,4000x2000,0.583598,4.66878,40.9884
4K-2,4000x16000,boxBlur,7,1.52383,8,4000x2000,0.550963,4.40771,41.9994
4K-3,4000x16000,boxBlur,7,1.58378,8,4000x2000,0.532459,4.25967,40.4097
4K-1,4000x32000,boxBlur,7,2.76663,16,4000x2000,0.329368,5.26989,46.2656
4K-2,4000x32000,boxBlur,7,2.74943,16,4000x2000,0.305363,4.8858,46.555
4K-3,4000x32000,boxBlur,7,2.75216,16,4000x2000,0.306413,4.90261,46.5089
